Citation,Authors,Year,Title,Journal/Book/ Publisher,Volume,Pages,Language,Multiple studies,Country,State/Province,Name of site/area,Research project,Lat.,Long.,Plotted lat.,Plotted long.,Altitude (m),Forest type,Dominant tree species,Stand age (years),Measure of age,Stand origin,Type of comparison,No. of true replicates,Intervention category,Intervention (specification),Outcome categories,Focal species,Focal communities,Focal biodiversity indicators,Remarks,Google Scholar search
Moore et al. (2006),"M. M. Moore, C. A. Casey, J. D. Bakker, J. D. Springer, P. Z. Fulé, W. W. Covington and D. C. Laughlin",2006,Herbaceous vegetation responses (1992-2004) to restoration treatments in a ponderosa pine forest,Rangeland Ecology and Management,59,135-144,English,,USA,Arizona,"Coconino National Forest (Gus Pearson Natural Area, Fort Valley Experimental Forest)",,35.27 N,111.75 W,35.27,-111.75,2195-2555,Coniferous,Pinus ponderosa,,,,BACI,5,"BURN, LITT, THIN",Thinning; litter manipulation; prescribed burning. (Ungulates excluded from all plots.),VascAbunt,,Vascular plants,,,http://scholar.google.co.uk/scholar?q=Herbaceous+vegetation+responses+1992-2004+to+restoration+treatments+in+a+ponderosa+pine+forest&btnG=&hl=en&as_sdt=0%2C5
Horton and Mannan (1988),S. P. Horton and R. W. Mannan,1988,Effects of prescribed fire on snags and cavity-nesting birds in southeastern Arizona pine forests,Wildlife Society Bulletin,16,37-44,English,,USA,Arizona,Coronado National Forest,,32.5 N,110.8 W,32.5,-110.8,2075-2410,Coniferous,Pinus ponderosa,,,,BACI,3,BURN,Prescribed burning,"DeadAbuns, DeadDv, BirdAbuns",,Cavity-nesting birds,Dead wood,"Outside relevant vegetation zones, but included as a ponderosa pine forest",http://scholar.google.co.uk/scholar?q=Effects+of+prescribed+fire+on+snags+and+cavity-nesting+birds+in+southeastern+Arizona+pine+forests&btnG=&hl=en&as_sdt=0%2C5
Fulé et al. (2006),"P. Z. Fulé, W. W. Covington, M. T. Stoddard and D. Bertolette",2006,"“Minimal-impact” restoration treatments have limited effects on forest structure and fuels at Grand Canyon, USA",Restoration Ecology,14,357-368,English,,USA,Arizona,Grand Canyon National Park (North and South Rim),,35.96-36.33 N,111.96-112.25 W,36.15,-112.1,2290-2500,Coniferous,"Pinus ponderosa, Abies concolor",,,,BACI,1 at each of 2 sites,"BURN, THIN",Thinning; prescribed burning,"VertDiam, VertHeight, TreeAbuns, TreeAbunt, DeadAbunt",,Trees,Vertical stand structure; dead wood,,"http://scholar.google.co.uk/scholar?q=“Minimal-impact”+restoration+treatments+have+limited+effects+on+forest+structure+and+fuels+at+Grand+Canyon,+USA&btnG=&hl=en&as_sdt=0%2C5"
Fulé et al. (2004),"P. Z. Fulé, A. E. Cocke, T. A. Heinlein and W. W. Covington",2004,Effects of an intense prescribed forest fire: Is it ecological restoration?,Restoration Ecology,12,220-230,English,,USA,Arizona,Grand Canyon National Park (Swamp Ridge),,36.33 N,112.25 W,36.33,-112.25,2427-2549,Coniferous,"Abies concolor, Pinus ponderosa",,,,CI,1,BURN,Prescribed burning (fire developed into wildfire),"TreeAbuns, TreeAbunt, DeadAbunt, DeadDv",,Trees,Dead wood,,http://scholar.google.co.uk/scholar?q=Effects+of+an+intense+prescribed+forest+fire:+Is+it+ecological+restoration?&btnG=&hl=en&as_sdt=0%2C5
Huisinga et al. (2005),"K. D. Huisinga, D. C. Laughlin, P. Z. Fulé, J. D. Springer and C. M. McGlone",2005,Effects of an intense prescribed fire on understory vegetation in a mixed conifer forest,Journal of the Torrey Botanical Society,132,590-601,English,,USA,Arizona,Grand Canyon National Park (Swamp Ridge),,36.33 N,112.25 W,36.33,-112.25,2420-2550,Coniferous,"Pinus ponderosa, Abies concolor, Pseudotsuga menziesii, Picea engelmannii, Populus tremuloides",,,Never logged,CI,1,BURN,Prescribed burning (fire developed into wildfire),"VascComp, VascAbuns, VascRich, VascDiv, InvasAbunt, InvasRich, TreeAbunt",,"Vascular plants, native and nonnative",,Site coordinates from Fulé et al. (2004),http://scholar.google.co.uk/scholar?q=Effects+of+an+intense+prescribed+fire+on+understory+vegetation+in+a+mixed+conifer+forest&btnG=&hl=en&as_sdt=0%2C5
Laughlin et al. (2011),"D. C. Laughlin, J. P. Roccaforte and P. Z. Fulé",2011,Effects of a second-entry prescribed fire in a mixed conifer forest,Western North American Naturalist,71,557-562,English,,USA,Arizona,Grand Canyon National Park (Swamp Ridge),,36.33 N,112.25 W,36.33,-112.25,2400-2550,Coniferous,"Pinus ponderosa, Abies concolor, Pseudotsuga menziesii, Picea engelmannii, Populus tremuloides",,,,BA,1,BURN,Prescribed burning,"VertDiam, TreeAbuns, DeadAbunt",,Trees,Vertical stand structure; dead wood,,http://scholar.google.co.uk/scholar?q=Effects+of+a+second-entry+prescribed+fire+in+a+mixed+conifer+forest&btnG=&hl=en&as_sdt=0%2C5
Springer and Laughlin (2004),J. Springer and D. C. Laughlin,2004,Seeding with natives increases species richness in a dry ponderosa pine forest (Arizona),Ecological Restoration,22,220-221,English,,USA,Arizona,Grand Canyon–Parashant National Monument,,36.4 N,113.7 W,36.4,-113.7,,Mixed,"Pinus ponderosa, Quercus gambelii",,,,BACI,8,INTRO,Seeding with native grasses and forbs. (All stands thinned and burned.),"VascRich, VascAbuns",,Ground vegetation,,"Outside relevant vegetation zones, but included as a ponderosa pine forest",http://scholar.google.co.uk/scholar?q=Seeding+with+natives+increases+species+richness+in+a+dry+ponderosa+pine+forest+(Arizona)&btnG=&hl=en&as_sdt=0%2C5
Fulé et al. (2007),"P. Z. Fulé, J. P. Roccaforte and W. W. Covington",2007,"Posttreatment tree mortality after forest ecological restoration, Arizona, United States",Environmental Management,40,623-634,English,,USA,Arizona,Grand Canyon–Parashant National Monument (Mt. Trumbull),,36.37 N,113.12 W,36.37,-113.12,2000-2250,Coniferous; mixed,"Pinus ponderosa, Quercus gambelii",,,,BACI,1 in each of 4 stand types,"BURN, THIN",Thinning; prescribed burning,"DeadAbunt, DeadDv, TreeAbuns, TreePerf",,Trees,Dead wood,"Outside relevant vegetation zones, but included as a ponderosa pine forest","http://scholar.google.co.uk/scholar?q=Posttreatment+tree+mortality+after+forest+ecological+restoration,+Arizona,+United+States&btnG=&hl=en&as_sdt=0%2C5"
McGlone et al. (2009),"C. M. McGlone, J. D. Springer and D. C. Laughlin",2009,Can pine forest restoration promote a diverse and abundant understory and simultaneously resist nonnative invasion?,Forest Ecology and Management,258,2638-2646,English,,USA,Arizona,Grand Canyon–Parashant National Monument (Mt. Trumbull),,36.37 N,113.12 W,36.37,-113.12,2000-2400,Coniferous; mixed,"Pinus ponderosa, Quercus gambelii",,,,BACI,1 in each of 4 stand types,"BURN, THIN",Thinning; prescribed burning,"VascAbunt, VascRich, VascComp, InvasAbunt, InvasAbuns, InvasRich",,"Vascular plants, native and nonnative",,"Outside relevant vegetation zones, but included as a ponderosa pine forest",http://scholar.google.co.uk/scholar?q=Can+pine+forest+restoration+promote+a+diverse+and+abundant+understory+and+simultaneously+resist+nonnative+invasion?&btnG=&hl=en&as_sdt=0%2C5
Waltz et al. (2003),"A. E. M. Waltz, P. Z. Fulé, W. W. Covington and M. M. Moore",2003,Diversity in ponderosa pine forest structure following ecological restoration treatments,Forest Science,49,885-900,English,,USA,Arizona,Grand Canyon–Parashant National Monument (Mt. Trumbull),,36.37 N,113.12 W,36.37,-113.12,1675-2620,Coniferous; mixed,"Pinus ponderosa, Quercus gambelii",Old-growth,,,BACI,1 in each of 4 stand types,"BURN, THIN",Thinning; prescribed burning,"VertDiam, VertAge, TreeAbuns, TreeAbunt, DeadAbunt, DeadDv",,Trees,Vertical stand structure; dead wood,"Outside relevant vegetation zones, but included as a ponderosa pine forest",http://scholar.google.co.uk/scholar?q=Diversity+in+ponderosa+pine+forest+structure+following+ecological+restoration+treatments&btnG=&hl=en&as_sdt=0%2C5
Patton et al. (1985),"D. R. Patton, R. L. Wadleigh and H. G. Hudak",1985,The effects of timber harvesting on the Kaibab squirrel,Journal of Wildlife Management,49,14-19,English,,USA,Arizona,Kaibab National Forest (Jacob Lake),,36.7 N,112.3 W,36.7,-112.3,2300-2500,Coniferous,Pinus ponderosa,,,,BACI,3,PART,Partial harvesting,"MammAbuns, TreeAbunt, VertDiam",Sciurus abertii kaibabensis (Kaibab squirrel),Trees,,"Outside relevant vegetation zones, but included as a ponderosa pine forest",http://scholar.google.co.uk/scholar?q=The+effects+of+timber+harvesting+on+the+Kaibab+squirrel&btnG=&hl=en&as_sdt=0%2C5
Fulé et al. (2002),"P. Z. Fulé, W. W. Covington, H. B. Smith, J. D. Springer, T. A. Heinlein, K. D. Huisinga and M. M. Moore",2002,"Comparing ecological restoration alternatives: Grand Canyon, Arizona",Forest Ecology and Management,170,19-41,English,,USA,Arizona,Kaibab National Forest (Tusayan Ranger District),,35.96 N,111.96 W,35.96,-111.96,2290,Mixed,"Pinus ponderosa, Quercus gambelii",,,,BACI,1,"BURN, THIN",Thinning; prescribed burning,"VertDiam, TreeAbuns, TreeAbunt, VascRich, VascDiv, DeadAbunt, DeadDv, InvasAbunt",,Trees and other vascular plants,Vertical stand structure; dead wood,Site coordinates from Fulé et al. (2005),"http://scholar.google.co.uk/scholar?q=Comparing+ecological+restoration+alternatives:+Grand+Canyon,+Arizona&btnG=&hl=en&as_sdt=0%2C5"
Fulé et al. (2005),"P. Z. Fulé, D. C. Laughlin and W. W. Covington",2005,"Pine-oak forest dynamics five years after ecological restoration treatments, Arizona, USA",Forest Ecology and Management,218,129-145,English,,USA,Arizona,Kaibab National Forest (Tusayan Ranger District),,35.96 N,111.96 W,35.96,-111.96,2290,Mixed,"Pinus ponderosa, Quercus gambelii",,,,BACI,1,"BURN, THIN ",Thinning; prescribed burning,"TreeAbuns, TreeAbunt, TreePerf, VascRich, VascDiv, VascAbunt, VascAbunt, VascComp, InvasAbunt, InvasRich, DeadAbunt, DeadDv",,Trees and other vascular plants,Dead wood,,"http://scholar.google.co.uk/scholar?q=Pine-oak+forest+dynamics+five+years+after+ecological+restoration+treatments,+Arizona,+USA&btnG=&hl=en&as_sdt=0%2C5"
Fettig et al. (2006),"C. J. Fettig, J. D. McMillin, J. A. Anhold, S. M. Hamud, R. R. Borys, C. P. Dabney and S. J. Seybold",2006,The effects of mechanical fuel reduction treatments on the activity of bark beetles (Coleoptera: Scolytidae) infesting ponderosa pine,Forest Ecology and Management,230,55-68,English,,USA,Arizona; California,"Apache-Sitgreaves, Kaibab and Tahoe National Forests",,34.18-39.13 N,109.87-120.69 W,36.5,-115,1463-2182,Coniferous,Pinus ponderosa,,,,CI,2 in each of 3 areas,THIN,"Thinning (fuel reduction, harvested biomass left on site after chipping or lopping and scattering)","TreeAbuns, TreeAbunt, TreeMort, BeetsAbuns, BeetsAbunt",,Bark beetles,,,http://scholar.google.co.uk/scholar?q=The+effects+of+mechanical+fuel+reduction+treatments+on+the+activity+of+bark+beetles+(Coleoptera:+Scolytidae)+infesting+ponderosa+pine&btnG=&hl=en&as_sdt=0%2C5
Converse et al. (2006c),"S. J. Converse, G. C. White, K. L. Farris and S. Zack",2006,Small mammals and forest fuel reduction: National-scale responses to fire and fire surrogates,Ecological Applications,16,1717-1729,English,,USA,Arizona; California; Montana; New Mexico; Oregon,Coconino and Kaibab National Forests; Klamath National Forest; Lubrecht Experimental Forest; Jemez Mountains; Hungry Bob study area,"Fire and Fire Surrogate (FFS) study (Southwest Plateau, Southern Cascades, Northern Rocky Mountains, Jemez Mountains and Blue Mountains study areas)",35-47 N,106-123 W,41,-114,,Coniferous,"Pinus ponderosa, Abies concolor, Pseudotsuga menziesii",,,,CI,1-3 in each of 3 areas (burning); 1-6 in each of 5 areas (thinning),"BURN, THIN",Thinning; prescribed burning (fuel reduction),"MammAbuns, MammAbunt",,Small mammals,,Study also reports on 3 sites outside relevant vegetation zones,http://scholar.google.co.uk/scholar?q=Small+mammals+and+forest+fuel+reduction:+National-scale+responses+to+fire+and+fire+surrogates&btnG=&hl=en&as_sdt=0%2C5
Schwilk et al. (2009),"D. W. Schwilk, J. E. Keeley, E. E. Knapp, J. McIver, J. D. Bailey, C. J. Fettig, C. E. Fiedler, R. J. Harrod, J. J. Moghaddas, K. W. Outcalt, C. N. Skinner, S. L. Stephens, T. A. Waldrop, D. A. Yaussy and A. Youngblood",2009,The national Fire and Fire Surrogate study: effects of fuel reduction methods on forest vegetation structure and fuels,Ecological Applications,19,285-304,English,,USA,Arizona; California; Montana; Ohio; Oregon; Washington,Coconino and Kaibab National Forests; Blodgett Forest Research Station; Klamath National Forest; Lubrecht Experimental Forest; Ohio Hills; Wallowa-Whitman National Forest; Okanogan-Wenatchee National Forest,"Fire and Fire Surrogate (FFS) project (Southwest Plateau, Central Sierra Nevada, Southern Cascades, Northern Rocky Mountains, Ohio Hills, Blue Mountains and Northeastern Cascades study areas)",35-48 N,82-123 W,41,-114,< 100 - 2300,Coniferous; broadleaf,"e.g. Pinus ponderosa, Pseudotsuga menziesii, Quercus spp.",,,,BACI,3-4 in each of 7 areas,"BURN, THIN",Thinning; prescribed burning (fuel reduction),"TreeAbunt, DeadAbunt, VascAbunt, VascRich, InvasRich",,Trees and other vascular plants,Dead wood,Study also reports on 5 sites outside relevant vegetation zones,http://scholar.google.co.uk/scholar?q=The+national+Fire+and+Fire+Surrogate+study:+effects+of+fuel+reduction+methods+on+forest+vegetation+structure+and+fuels&btnG=&hl=en&as_sdt=0%2C5
Stephens et al. (2009),"S. L. Stephens, J. J. Moghaddas, C. Edminster, C. E. Fiedler, S. Haase, M. Harrington, J. E. Keeley, E. E. Knapp, J. D. McIver, K. Metlen, C. N. Skinner and A. Youngblood",2009,"Fire treatment effects on vegetation structure, fuels, and potential fire severity in western U.S. forests",Ecological Applications,19,305-320,English,,USA,Arizona; California; Montana; Oregon,Coconino and Kaibab National Forests; Blodgett Forest Research Station; Klamath National Forest; Lubrecht Experimental Forest; Wallowa-Whitman National Forest,"Fire and Fire Surrogate (FFS) project (Southwest Plateau, Central Sierra Nevada, Southern Cascades, Northern Rocky Mountains and Blue Mountains study areas)",35-48 N,112-123 W,41,-114,900-2300,Coniferous,"Pinus ponderosa, Pinus lambertiana, Pseudotsuga menziesii, Abies concolor",70-100,,,CI,3-4 in each of 5 areas,"BURN, THIN",Thinning; prescribed burning (fuel reduction),"TreeAbunt, DeadAbunt",,Trees,Dead wood,Study also reports on one site (S Sierra Nevada) outside relevant vegetation zones,"http://scholar.google.co.uk/scholar?q=Fire+treatment+effects+on+vegetation+structure,+fuels,+and+potential+fire+severity+in+western+U.S.+forests&btnG=&hl=en&as_sdt=0%2C5"
Berk (2007),L. C. Berk,2007,The response of avian foraging guilds and plant communities to prescribed fire in the ponderosa pine forests of the United States Southwest,University of North Carolina at Chapel Hill (thesis),,,English,,USA,Arizona; New Mexico,"Apache-Sitgreaves, Coconino, Kaibab and Gila National Forests",,33.60-35.38 N,108.47-111.91 W,34.5,-110.2,,Coniferous,Pinus ponderosa,,,,BACI,4,BURN,Prescribed burning,"BirdRich, BirdDiv, BirdAbuns, BirdPerf, TreeAbunt, DeadAbunt",,Birds,,Some sites are outside relevant vegetation zones but included as ponderosa pine forests. Site coordinates from Breece et al. (2008).,http://scholar.google.co.uk/scholar?q=The+response+of+avian+foraging+guilds+and+plant+communities+to+prescribed+fire+in+the+ponderosa+pine+forests+of+the+United+States+Southwest&btnG=&hl=en&as_sdt=0%2C5
Breece et al. (2008),"C. R. Breece, T. E. Kolb, B. G. Dickson, J. D. McMillin and K. M. Clancy",2008,Prescribed fire effects on bark beetle activity and tree mortality in southwestern ponderosa pine forests,Forest Ecology and Management,255,119-128,English,,USA,Arizona; New Mexico,"Apache-Sitgreaves, Coconino, Kaibab and Gila National Forests",,33.60-35.38 N,108.47-111.91 W,34.5,-110.2,2070-2500,Coniferous,Pinus ponderosa,,,,CI,4,BURN,Prescribed burning,"TreeAbunt, TreePerf, TreeMort, BeetsAbuns, BeetsAbunt",,Trees; bark beetles,,Some sites are outside relevant vegetation zones but included as ponderosa pine forests. Published site coordinates confuse minutes of arcs with decimals of degrees. ,http://scholar.google.co.uk/scholar?q=Prescribed+fire+effects+on+bark+beetle+activity+and+tree+mortality+in+southwestern+ponderosa+pine+forests&btnG=&hl=en&as_sdt=0%2C5
Dickson et al. (2009),"B. G. Dickson, B. R. Noon, C. H. Flather, S. Jentsch and W. M. Block",2009,Quantifying the multi-scale response of avifauna to prescribed fire experiments in the southwest United States,Ecological Applications,19,608-621,English,,USA,Arizona; New Mexico,"Apache-Sitgreaves, Coconino, Kaibab and Gila National Forests",,33.60-35.38 N,108.47-111.91 W,34.5,-110.2,,Coniferous,Pinus ponderosa,,,,BACI,4,BURN,Prescribed burning,BirdAbuns,,Birds,,Some sites are outside relevant vegetation zones but included as ponderosa pine forests. Site coordinates from Breece et al. (2008).,http://scholar.google.co.uk/scholar?q=Quantifying+the+multi-scale+response+of+avifauna+to+prescribed+fire+experiments+in+the+southwest+United+States&btnG=&hl=en&as_sdt=0%2C5
Converse et al. (2006b),"S. J. Converse, G. C. White and W. M. Block",2006,Small mammal responses to thinning and wildfire in ponderosa pine-dominated forests of the southwestern United States,Journal of Wildlife Management,70,1711-1722,English,,USA,Arizona; New Mexico,"Coconino, Kaibab and Santa Fe National Forests",Fire and Fire Surrogate (FFS) project (Southwest Plateau and Jemez Mountains study areas),35.2-35.9 N,106.7-112.0 W,35.2,-111.9,2100-2600,Coniferous,Pinus ponderosa,,,,BACI,4-6 in each of 2 areas,THIN,Thinning (fuel reduction). (Study also reports on wildfire.),"MammAbuns, MammAbunt",,Small mammals,,,http://scholar.google.co.uk/scholar?q=Small+mammal+responses+to+thinning+and+wildfire+in+ponderosa+pine-dominated+forests+of+the+southwestern+United+States&btnG=&hl=en&as_sdt=0%2C5
Amacher et al. (2008),"A. J. Amacher, R. H. Barrett, J. J. Moghaddas and S. L. Stephens",2008,Preliminary effects of fire and mechanical fuel treatments on the abundance of small mammals in the mixed-conifer forest of the Sierra Nevada,Forest Ecology and Management,255,3193-3202,English,,USA,California,Blodgett Forest Research Station,Fire and Fire Surrogate (FFS) study (Central Sierra Nevada study area),38.91 N,120.66 W,38.91,-120.66,1100-1410,Coniferous,"Pseudotsuga menziesii, Pinus lambertiana, Pinus ponderosa, Abies concolor, Calocedrus decurrens, Quercus kelloggii",,,,BACI,3,"BURN, THIN, UREM",Thinning; understorey mastication; prescribed burning (fuel reduction). (All stands subject to group selection harvesting.),"TreeAbunt, VascAbunt, DeadAbunt, MammAbuns","Spermophilus beecheyi (California ground squirrel), Tamias quadrimaculatus (long-eared chipmunk), Peromyscus boylii (brush mouse), Peromyscus maniculatus (deer mouse)",Trees and other vascular plants,Dead wood,,http://scholar.google.co.uk/scholar?q=Preliminary+effects+of+fire+and+mechanical+fuel+treatments+on+the+abundance+of+small+mammals+in+the+mixed-conifer+forest+of+the+Sierra+Nevada&btnG=&hl=en&as_sdt=0%2C5
